Time,BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha),Ch 25 (Mag),Ch 25 (Pha),Ch 26 (Mag),Ch 26 (Pha),Ch 27 (Mag),Ch 27 (Pha),Ch 28 (Mag),Ch 28 (Pha),Ch 29 (Mag),Ch 29 (Pha),Ch 30 (Mag),Ch 30 (Pha),Ch 31 (Mag),Ch 31 (Pha),RSS
2.004000,0.000000,13.266495,2.392153,13.478521,2.710052,13.229677,2.521614,11.386614,2.635364,15.158299,2.568253,13.371654,2.642170,11.619106,2.622142,12.228966,2.686595,11.196625,2.735756,13.463552,2.887331,13.187034,2.762404,11.912815,3.139474,10.739301,2.770150,12.968914,2.948929,12.526398,2.969946,12.392791,2.944814,11.931338,2.918871,12.243583,2.955879,10.986885,3.114021,16.316354,3.101165,12.331423,3.068715,14.127255,3.086926,12.573559,-3.132900,12.828240,-3.124014,13.548931,-3.020122,12.834346,-2.926112,11.653267,-2.955658,15.035380,-2.991222,11.614577,-2.905295,13.259921,-2.880776,13.587749,-2.763612,13.162175,-2.791306,-25.697526
2.104000,0.000000,9.643644,3.032250,9.081481,3.079115,6.984708,-3.127167,8.897341,3.102514,7.850227,-3.102010,6.953396,-3.009777,8.849412,-3.091956,7.942168,-3.067623,8.736610,-2.868667,8.025838,-2.940621,7.734840,-2.908015,8.231065,-2.930831,7.193766,-2.874271,6.411760,-2.969440,8.077518,-2.544936,8.072950,-2.843218,7.339788,-2.676705,7.372552,-2.710791,8.687300,-2.706061,7.768024,-2.596643,7.132115,-2.622708,7.749689,-2.635186,9.007991,-2.533071,8.986861,-2.538449,7.733919,-2.526175,8.835551,-2.378771,7.674550,-2.254904,8.336146,-2.334932,8.690308,-2.232544,7.649710,-2.425466,7.712520,-2.210703,8.934084,-2.233780,-21.645891
2.204000,0.000000,9.027773,-1.883455,10.003577,-2.070464,10.021530,-2.113416,11.020069,-2.233492,10.215487,-2.377690,11.953133,-2.419703,9.435165,-2.454229,9.136710,-2.484572,10.938240,-2.622410,10.550188,-2.700043,10.961097,-2.778495,9.964092,-2.991934,10.650636,-3.021809,11.234416,2.960778,10.707597,3.126318,9.957502,2.871497,10.369307,2.982573,11.369828,2.673694,9.744088,2.738051,11.065374,2.747264,9.077309,2.598062,9.969387,2.475540,9.595614,2.495746,10.117006,2.172061,9.334286,2.140666,9.806401,2.153268,10.004980,1.828066,11.742522,1.997054,9.917836,1.835263,12.531501,1.869251,11.800168,1.476079,10.995888,1.650043,-23.746825
2.304000,0.000000,9.068146,-1.421566,8.090008,-1.440388,8.861270,-1.639192,9.141540,-1.636748,9.079212,-1.646459,8.204846,-1.818948,9.339783,-1.911611,9.385291,-1.991519,9.058418,-2.125659,9.642478,-2.079074,8.740593,-2.349805,8.939729,-2.292231,7.892027,-2.512843,9.551047,-2.491688,7.212073,-2.530450,10.317896,-2.518272,9.245938,-2.850467,9.590103,-2.891734,8.264413,-3.002597,7.199382,-3.032249,8.976590,-3.067302,9.187411,3.103102,8.431585,2.784998,9.097829,2.806533,10.440335,2.726910,8.431547,2.652020,8.618791,2.545036,9.050746,2.567525,8.597626,2.418962,8.872590,2.293841,9.704911,2.150397,10.328880,2.237449,-22.715638
2.404000,0.000000,9.907549,2.623480,9.389768,2.647233,8.698892,2.638335,10.259069,2.685361,10.227754,2.780118,8.192489,2.738309,8.645539,2.914428,9.726741,2.886319,9.281744,2.955978,9.333907,2.984710,8.062163,3.002694,8.131210,2.917403,8.203176,2.950377,7.856773,3.074361,9.972817,2.981808,10.323013,-3.122555,8.981115,-3.123192,8.773975,-3.025626,9.175061,-3.042579,8.861720,-3.004461,8.821135,-2.998278,8.689441,-2.981890,9.091834,-3.076302,9.353903,-2.984111,10.653015,-2.898046,9.041342,-2.714939,8.867351,-2.913017,9.366799,-2.871429,10.225547,-2.685286,9.379223,-2.746818,9.582596,-2.549550,9.628569,-2.642698,-22.775396
2.504000,0.000000,11.168186,2.936202,10.179424,2.915392,10.023723,3.067705,11.027374,2.880955,10.154360,-3.057367,12.012197,2.969256,9.969000,3.132928,10.528378,-3.028233,13.384908,-3.006896,10.128167,2.992200,11.930376,-3.114409,10.717134,2.982345,10.591031,-3.069715,11.548109,-2.953516,10.401821,-2.749127,10.204269,-2.885925,10.756684,-2.954119,10.301245,-2.789913,11.872536,-2.810376,11.348389,-2.902647,10.297779,-2.654570,11.106633,-2.738075,10.011407,-2.508148,11.839698,-2.524493,9.007343,-2.601478,11.480262,-2.510007,10.745238,-2.496150,13.535678,-2.463534,10.437436,-2.546310,10.169858,-2.296304,12.712026,-2.538228,11.413580,-2.407705,-24.337213
2.605000,0.000000,8.107764,2.973788,8.049992,2.977844,8.557284,2.860318,8.135114,2.987472,8.585776,2.924275,7.137826,2.992276,7.518874,3.095425,7.684072,3.110996,9.164212,3.053204,7.952120,3.042615,8.666166,3.105991,7.943774,-3.124439,9.150071,-3.037382,8.868907,-2.955660,8.568260,-3.057535,7.699561,-2.887081,8.453996,-2.880868,8.820254,-2.821586,7.824307,-2.776579,9.128491,-2.747384,8.680395,-2.548853,9.837022,-2.611605,7.068865,-2.687912,9.366359,-2.579188,8.110327,-2.625459,8.261355,-2.607930,8.654385,-2.544771,9.583155,-2.470587,8.289571,-2.540801,8.503963,-2.335455,8.393739,-2.372373,10.607149,-2.355623,-22.180541
2.706000,0.000000,10.412930,2.380792,8.699476,2.549922,11.825157,2.514436,8.736220,2.645116,11.042802,2.607893,10.249458,2.694768,8.977093,2.629713,8.209470,2.626103,9.245941,2.822588,8.893562,2.772084,10.294493,2.859126,8.578519,2.809226,9.733535,2.979214,9.227371,2.836929,9.936060,3.012092,9.600306,3.054268,9.497176,3.078634,9.201251,3.113576,9.923731,3.109098,10.388399,3.019650,9.511630,-3.106863,9.465743,3.111297,8.449983,-3.137277,9.346635,3.130505,10.670353,-3.047542,10.027912,-2.971503,10.374308,-3.057417,10.911732,-3.047912,10.230040,-2.898514,10.472719,-2.892935,10.536665,-2.717840,10.284360,-2.727019,-23.439121
2.806000,0.000000,9.704044,3.082354,9.599215,3.029534,9.138847,-3.115091,11.364101,3.068343,9.224888,-3.086168,9.637892,-2.982166,9.326690,-2.973196,9.214146,-2.974937,9.564355,-2.944042,9.977518,-3.040928,10.711909,-2.778067,8.019985,-2.945752,10.218323,-2.856150,8.489316,-2.892941,8.197587,-2.895171,8.958667,-2.633074,8.920715,-2.623242,8.949671,-2.559247,9.361070,-2.642959,10.259650,-2.550425,9.929756,-2.400438,10.228986,-2.563065,10.668048,-2.438805,9.365112,-2.441315,9.965446,-2.424984,10.431281,-2.465269,9.391550,-2.374896,11.437699,-2.380906,10.914566,-2.273436,9.358515,-2.363595,9.272820,-2.278598,10.049415,-2.234583,-23.369331
2.906000,0.000000,8.867625,2.714401,10.039227,2.618941,9.348395,2.959683,9.139271,3.002340,8.862257,2.983825,7.903985,2.952308,9.280033,3.021048,8.066814,-3.124913,9.650804,2.952150,8.141220,3.031683,8.331005,3.050684,7.899822,-3.046086,8.544730,3.043899,8.462887,-2.919140,8.492173,-3.114356,9.096834,-2.945586,7.919962,-2.871688,8.479667,-2.866212,7.905388,-2.937766,8.923007,-2.996136,7.859242,-2.841554,8.824820,-2.840015,9.022520,-2.706923,9.485816,-2.760184,7.559675,-2.681871,8.369766,-2.626551,8.438412,-2.579982,8.290953,-2.772059,8.888527,-2.663434,7.276224,-2.423195,8.819421,-2.531922,9.088701,-2.420600,-22.374762
